Time,ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Load [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Sens Cool Load [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM HEATING DESIGN DAY 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Latent Heat Load [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Latent Cool Load [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Latent Heat Mass Flow [kg/s],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Latent Cool Mass Flow [kg/s],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Heat Load No DOAS [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Sens Cool Load No DOAS [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Latent Heat Load No DOAS [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439::Des Latent Cool Load No DOAS [W],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Temperature [C],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM HEATING DESIGN DAY 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ROOM_62B6A475-1BD9-45F0-8EB8-86BC21807113-0005A439:AMSTERDAM COOLING DESIGN DAY 0.4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:15:00,8.360096E+03,2.192039E+03,4.311687E-01,1.691385E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038336E+01,2.669793E+01,4.346499E+01
00:30:00,8.357792E+03,2.129993E+03,4.310499E-01,1.643511E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038370E+01,2.669797E+01,4.348608E+01
00:45:00,8.355549E+03,2.065827E+03,4.309342E-01,1.593996E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038402E+01,2.669802E+01,4.350529E+01
01:00:00,8.353366E+03,2.001124E+03,4.308216E-01,1.544066E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038434E+01,2.669807E+01,4.353874E+01
01:15:00,8.353693E+03,1.941717E+03,4.308384E-01,1.498222E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038464E+01,2.669811E+01,4.358690E+01
01:30:00,8.354011E+03,1.884475E+03,4.308548E-01,1.454049E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038494E+01,2.669814E+01,4.364194E+01
01:45:00,8.354320E+03,1.829710E+03,4.308708E-01,1.411789E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038523E+01,2.669817E+01,4.369842E+01
02:00:00,8.354620E+03,1.777637E+03,4.308862E-01,1.371607E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038550E+01,2.669819E+01,4.375461E+01
02:15:00,8.354911E+03,1.727393E+03,4.309013E-01,1.332836E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038578E+01,2.669822E+01,4.381057E+01
02:30:00,8.355194E+03,1.679040E+03,4.309159E-01,1.295524E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.098542E+01,4.038604E+01,2.669825E+01,4.386556E+01
